season,team,off_avg,def_avg,total_player
2025,Milwaukee Bucks,106.76470588235294,113.82352941176471,17
2025,Denver Nuggets,93.6470588235294,113.52941176470588,17
2025,Houston Rockets,112.375,104.125,16
2025,Indiana Pacers,106.55555555555556,117.88888888888889,18
2025,Oklahoma City Thunder,113,104.22222222222223,18
2025,Chicago Bulls,117.41176470588235,119.17647058823529,17
2025,Philadelphia 76ers,109.11764705882354,114.76470588235294,17
2025,Boston Celtics,107.5625,109.1875,16
2025,Miami Heat,112.26666666666667,110.46666666666667,15
2025,Sacramento Kings,112.5625,113.625,16
2025,Washington Wizards,116.1875,120.5,16
2025,Detroit Pistons,107.875,113.75,16
2025,Los Angeles Clippers,112.14285714285714,108.07142857142857,14
2025,Golden State Warriors,120.4375,107.9375,16
2025,Portland Trail Blazers,NA,113.75,16
2025,Orlando Magic,114.05882352941177,107.29411764705883,17
2025,Los Angeles Lakers,NA,118.4,15
2025,Minnesota Timberwolves,110,112.57142857142857,14
2025,New Orleans Pelicans,105.52631578947368,118.47368421052632,19
2025,New York Knicks,113.38461538461539,117.92307692307692,13
2025,Brooklyn Nets,117,118.4375,16
2025,San Antonio Spurs,99.44444444444444,113,18
2025,Atlanta Hawks,106.8125,117.1875,16
2025,Phoenix Suns,111,116.70588235294117,17
2025,Memphis Grizzlies,115.47058823529412,109,17
2025,Charlotte Hornets,107.25,113.875,16
2025,Dallas Mavericks,104.58823529411765,112.17647058823529,17
2025,Utah Jazz,107.29411764705883,118.47058823529412,17
2025,Toronto Raptors,114.125,116,16
2025,Cleveland Cavaliers,121.66666666666667,111.66666666666667,15
2024,Milwaukee Bucks,NA,115.80952380952381,21
2024,Dallas Mavericks,114.68181818181819,115.45454545454545,22
2024,Atlanta Hawks,114.21052631578948,119.63157894736842,19
2024,Denver Nuggets,116.6470588235294,112.88235294117646,17
2024,Houston Rockets,117.88235294117646,112.94117647058823,17
2024,Indiana Pacers,114.18181818181819,118.54545454545455,22
2024,Oklahoma City Thunder,113.0909090909091,113.86363636363636,22
2024,Chicago Bulls,107,116,18
2024,Orlando Magic,111.66666666666667,111.61111111111111,18
2024,Boston Celtics,124.42105263157895,110.89473684210526,19
2024,Detroit Pistons,NA,119.48387096774194,31
2024,New York Knicks,103,114.23076923076923,26
2024,Charlotte Hornets,109.07692307692308,120.1923076923077,26
2024,Los Angeles Lakers,103.57142857142857,116.61904761904762,21
2024,Sacramento Kings,113.05,115.65,20
2024,Miami Heat,109.42857142857143,112.76190476190476,21
2024,Los Angeles Clippers,113.23809523809524,115.42857142857143,21
2024,Golden State Warriors,116.11111111111111,115.11111111111111,18
2024,Portland Trail Blazers,105.13636363636364,117.27272727272727,22
2024,Minnesota Timberwolves,NA,109.3157894736842,19
2024,Washington Wizards,106.79166666666667,116.45833333333333,24
2024,Brooklyn Nets,109.9047619047619,115.95238095238095,21
2024,Memphis Grizzlies,101.42424242424242,114.48484848484848,33
2024,San Antonio Spurs,119.1,116.65,20
2024,Phoenix Suns,111.45454545454545,114.68181818181819,22
2024,New Orleans Pelicans,100.15,113.4,20
2024,Utah Jazz,116.19047619047619,120.57142857142857,21
2024,Toronto Raptors,NA,118.3,30
2024,Philadelphia 76ers,NA,114.35714285714286,28
2024,Cleveland Cavaliers,109.22222222222223,113.88888888888889,18
2023,Milwaukee Bucks,113.52380952380952,112.85714285714286,21
2023,Minnesota Timberwolves,118.95,114.15,20
2023,Dallas Mavericks,113.08695652173913,117.26086956521739,23
2023,Atlanta Hawks,112.9,116.3,20
2023,Denver Nuggets,112.33333333333333,114.38888888888889,18
2023,Indiana Pacers,112.1,117.55,20
2023,Oklahoma City Thunder,114.57894736842105,114.26315789473684,19
2023,Orlando Magic,112.55,113.6,20
2023,Boston Celtics,114.94444444444444,111.55555555555556,18
2023,Detroit Pistons,114.86363636363636,115.68181818181819,22
2023,Chicago Bulls,116.94444444444444,112.27777777777777,18
2023,Sacramento Kings,108.7,116.7,20
2023,San Antonio Spurs,107.08695652173913,119.95652173913044,23
2023,Brooklyn Nets,100.88,114.12,25
2023,Houston Rockets,113.27777777777777,119.55555555555556,18
2023,Los Angeles Clippers,114.0952380952381,115.04761904761905,21
2023,Golden State Warriors,113.77777777777777,114.38888888888889,18
2023,Portland Trail Blazers,109.91304347826087,118.47826086956522,23
2023,Los Angeles Lakers,112.45833333333333,113.54166666666667,24
2023,Washington Wizards,108.1304347826087,114.91304347826087,23
2023,Miami Heat,110.85,112.85,20
2023,Phoenix Suns,113.95,113.1,20
2023,Memphis Grizzlies,111.6842105263158,111.52631578947368,19
2023,New Orleans Pelicans,114.29411764705883,112.76470588235294,17
2023,Charlotte Hornets,109.42105263157895,115.73684210526316,19
2023,New York Knicks,115.29411764705883,114.76470588235294,17
2023,Cleveland Cavaliers,115.22222222222223,110.16666666666667,18
2023,Toronto Raptors,119.5,114.6,20
2023,Utah Jazz,111.6086956521739,117,23
2023,Philadelphia 76ers,NA,113,21
2022,Denver Nuggets,112,113.04545454545455,22
2022,Philadelphia 76ers,109.56521739130434,108.91304347826087,23
2022,Washington Wizards,NA,114.3103448275862,29
2022,Phoenix Suns,100.6086956521739,105.30434782608695,23
2022,Boston Celtics,NA,108.75,28
2022,Oklahoma City Thunder,101.84615384615384,113.53846153846153,26
2022,Sacramento Kings,NA,115.88461538461539,26
2022,Orlando Magic,100.54545454545455,113.5,22
2022,Indiana Pacers,NA,117.28571428571429,28
2022,New York Knicks,NA,109.8695652173913,23
2022,Chicago Bulls,116.5,112.18181818181819,22
2022,New Orleans Pelicans,109.04545454545455,113.36363636363636,22
2022,Houston Rockets,107.84210526315789,116.21052631578948,19
2022,Los Angeles Clippers,117.26086956521739,110.34782608695652,23
2022,Brooklyn Nets,NA,111.625,24
2022,Golden State Warriors,112.82352941176471,107.29411764705883,17
2022,Portland Trail Blazers,108.29629629629629,117,27
2022,Los Angeles Lakers,103.16,112.6,25
2022,Minnesota Timberwolves,NA,112.27777777777777,18
2022,San Antonio Spurs,109.125,113.125,24
2022,Toronto Raptors,NA,110.78260869565217,23
2022,Charlotte Hornets,109.10526315789474,114.47368421052632,19
2022,Miami Heat,112.54545454545455,109.68181818181819,22
2022,Dallas Mavericks,102.14814814814815,109.55555555555556,27
2022,Milwaukee Bucks,NA,111.82758620689656,29
2022,Atlanta Hawks,111.79166666666667,115.58333333333333,24
2022,Utah Jazz,107.125,111.33333333333333,24
2022,Memphis Grizzlies,107.95652173913044,109.82608695652173,23
2022,Cleveland Cavaliers,108.46153846153847,110.11538461538461,26
2022,Detroit Pistons,95.55555555555556,113.85185185185185,27
2021,Orlando Magic,105.82142857142857,114.78571428571429,28
2021,Denver Nuggets,NA,112.68181818181819,22
2021,Indiana Pacers,106.7,112.7,20
2021,Boston Celtics,112.42857142857143,112.57142857142857,21
2021,Phoenix Suns,112.52941176470588,111.70588235294117,17
2021,Chicago Bulls,108.31818181818181,111.36363636363636,22
2021,Oklahoma City Thunder,106.31818181818181,114.22727272727273,22
2021,New York Knicks,105.21052631578948,108.52631578947368,19
2021,Golden State Warriors,107.94444444444444,109,18
2021,Los Angeles Lakers,109.10526315789474,106.78947368421052,19
2021,Toronto Raptors,115.54545454545455,113.27272727272727,22
2021,Washington Wizards,105.9047619047619,113.0952380952381,21
2021,Brooklyn Nets,106.85185185185185,113.62962962962963,27
2021,Los Angeles Clippers,113.3,111,20
2021,Cleveland Cavaliers,103.2,113.08,25
2021,Miami Heat,113.57142857142857,111.19047619047619,21
2021,Portland Trail Blazers,111.88235294117646,116,17
2021,Minnesota Timberwolves,104,115.4375,16
2021,Houston Rockets,102.33333333333333,114.76666666666667,30
2021,Philadelphia 76ers,100.73913043478261,108.65217391304348,23
2021,Milwaukee Bucks,110.9090909090909,112.13636363636364,22
2021,Charlotte Hornets,111.29411764705883,114.11764705882354,17
2021,Detroit Pistons,108.0952380952381,113,21
2021,Dallas Mavericks,109.94736842105263,112.6842105263158,19
2021,Atlanta Hawks,108.94444444444444,113.22222222222223,18
2021,Utah Jazz,114.16666666666667,108.61111111111111,18
2021,Memphis Grizzlies,109,110.72222222222223,18
2021,New Orleans Pelicans,99.71428571428571,114.66666666666667,21
2021,Sacramento Kings,108.79166666666667,117.16666666666667,24
2021,San Antonio Spurs,109.61111111111111,113.33333333333333,18
2020,Orlando Magic,102.78947368421052,109.21052631578948,19
2020,Indiana Pacers,104.17647058823529,108.17647058823529,17
2020,Oklahoma City Thunder,95.5,109.66666666666667,18
2020,Chicago Bulls,112.88235294117646,110.3529411764706,17
2020,Washington Wizards,110.91304347826087,115.95652173913044,23
2020,Philadelphia 76ers,105.57894736842105,108.89473684210526,19
2020,Golden State Warriors,103.4090909090909,114.13636363636364,22
2020,Los Angeles Lakers,105.1,107.95,20
2020,Atlanta Hawks,98.0952380952381,114.33333333333333,21
2020,Sacramento Kings,106.6086956521739,111.04347826086956,23
2020,Cleveland Cavaliers,NA,112.85714285714286,21
2020,Minnesota Timberwolves,103.58333333333333,113.33333333333333,24
2020,New York Knicks,106.47058823529412,113.88235294117646,17
2020,Los Angeles Clippers,113.3,108.25,20
2020,Detroit Pistons,105,113.36363636363636,22
2020,Miami Heat,104.71428571428571,109.61904761904762,21
2020,Portland Trail Blazers,110.15789473684211,114.05263157894737,19
2020,Memphis Grizzlies,108.38095238095238,110.66666666666667,21
2020,Dallas Mavericks,113,111.73684210526316,19
2020,Phoenix Suns,105.15789473684211,111.84210526315789,19
2020,Houston Rockets,105.47619047619048,109.47619047619048,21
2020,Charlotte Hornets,101.625,112.8125,16
2020,Utah Jazz,103.15,110.1,20
2020,Denver Nuggets,110.14285714285714,110.80952380952381,21
2020,Boston Celtics,110.52941176470588,105.94117647058823,17
2020,New Orleans Pelicans,107.05882352941177,112.94117647058823,17
2020,Milwaukee Bucks,110.17647058823529,103.3529411764706,17
2020,San Antonio Spurs,108.77777777777777,113.72222222222223,18
2020,Brooklyn Nets,107.45833333333333,110.08333333333333,24
2020,Toronto Raptors,113.11111111111111,105.11111111111111,18
2019,Orlando Magic,110.88235294117646,108,17
2019,Indiana Pacers,102.52941176470588,106.23529411764706,17
2019,Oklahoma City Thunder,92.66666666666667,109.16666666666667,18
2019,Boston Celtics,117,108.58823529411765,17
2019,Portland Trail Blazers,108.88888888888889,111,18
2019,Brooklyn Nets,110.3157894736842,109.52631578947368,19
2019,Utah Jazz,108.66666666666667,106.55555555555556,18
2019,Cleveland Cavaliers,NA,118.14814814814815,27
2019,Sacramento Kings,107.85,111.55,20
2019,Los Angeles Lakers,104.0909090909091,109.68181818181819,22
2019,Atlanta Hawks,115.72727272727273,114.4090909090909,22
2019,Golden State Warriors,115.52941176470588,109.76470588235294,17
2019,New York Knicks,105.56521739130434,113.91304347826087,23
2019,Philadelphia 76ers,111.15384615384616,110.15384615384616,26
2019,Detroit Pistons,103.65,108.45,20
2019,Memphis Grizzlies,101.17857142857143,109.57142857142857,28
2019,New Orleans Pelicans,106.05,113.55,20
2019,Minnesota Timberwolves,110.0952380952381,113.85714285714286,21
2019,Chicago Bulls,NA,113.77272727272727,22
2019,Washington Wizards,110.8,113.64,25
2019,Houston Rockets,108.17391304347827,111.43478260869566,23
2019,Los Angeles Clippers,105.68181818181819,111.4090909090909,22
2019,Miami Heat,102.38888888888889,108.55555555555556,18
2019,Charlotte Hornets,105.23529411764706,113.70588235294117,17
2019,Milwaukee Bucks,109.66666666666667,105.70833333333333,24
2019,Denver Nuggets,108.05555555555556,109.88888888888889,18
2019,San Antonio Spurs,110,110.375,16
2019,Toronto Raptors,109.36363636363636,107.13636363636364,22
2019,Dallas Mavericks,NA,111.28571428571429,21
2019,Phoenix Suns,NA,114.29166666666667,24
2018,Minnesota Timberwolves,119.125,111.1875,16
2018,Orlando Magic,102.89473684210526,110.63157894736842,19
2018,Dallas Mavericks,97.17391304347827,109.65217391304348,23
2018,Houston Rockets,94.83333333333333,106.79166666666667,24
2018,Boston Celtics,96,103.35,20
2018,Indiana Pacers,NA,109,19
2018,Portland Trail Blazers,114.75,103.5,16
2018,Phoenix Suns,104,112.04545454545455,22
2018,Utah Jazz,111.33333333333333,105.0952380952381,21
2018,Los Angeles Lakers,101.41666666666667,109,24
2018,Toronto Raptors,107.11111111111111,106.22222222222223,18
2018,Brooklyn Nets,109.5909090909091,111.31818181818181,22
2018,Philadelphia 76ers,102.26086956521739,106.65217391304348,23
2018,Detroit Pistons,104.81818181818181,108.5,22
2018,Golden State Warriors,106.70588235294117,106.47058823529412,17
2018,Oklahoma City Thunder,108.6470588235294,108.05882352941177,17
2018,Memphis Grizzlies,102.875,110.83333333333333,24
2018,Atlanta Hawks,98.68181818181819,111.77272727272727,22
2018,Cleveland Cavaliers,108.31818181818181,112.4090909090909,22
2018,New Orleans Pelicans,101.21739130434783,110.08695652173913,23
2018,Chicago Bulls,94.19047619047619,111.66666666666667,21
2018,Los Angeles Clippers,108.76190476190476,109.66666666666667,21
2018,Miami Heat,102.63157894736842,107.42105263157895,19
2018,Sacramento Kings,102.27777777777777,111.22222222222223,18
2018,Washington Wizards,108.46666666666667,108.6,15
2018,Milwaukee Bucks,106.79166666666667,111.125,24
2018,San Antonio Spurs,106.17647058823529,104.47058823529412,17
2018,Charlotte Hornets,109.76470588235294,109.05882352941177,17
2018,New York Knicks,99.23809523809524,111,21
2018,Denver Nuggets,NA,111.44444444444444,18
2017,Dallas Mavericks,97.54166666666667,108.70833333333333,24
2017,Indiana Pacers,103.5625,109.625,16
2017,Orlando Magic,95.78947368421052,111.3157894736842,19
2017,Charlotte Hornets,105,109.52631578947368,19
2017,Minnesota Timberwolves,103.9375,111.25,16
2017,Boston Celtics,112.53333333333333,109,15
2017,Portland Trail Blazers,106.66666666666667,110.53333333333333,15
2017,Los Angeles Clippers,104.2,106.73333333333333,15
2017,Phoenix Suns,105.72222222222223,112.94444444444444,18
2017,Utah Jazz,108.73333333333333,105.13333333333334,15
2017,Philadelphia 76ers,103.80952380952381,109.38095238095238,21
2017,New Orleans Pelicans,107.76923076923077,108.88461538461539,26
2017,Denver Nuggets,113.6842105263158,111.63157894736842,19
2017,Golden State Warriors,110.23529411764706,103.94117647058823,17
2017,Detroit Pistons,102.33333333333333,107.86666666666666,15
2017,Oklahoma City Thunder,106.89473684210526,108.26315789473684,19
2017,Cleveland Cavaliers,NA,110.14285714285714,21
2017,Memphis Grizzlies,103.94117647058823,107.3529411764706,17
2017,Washington Wizards,NA,107.94444444444444,18
2017,Brooklyn Nets,103.47619047619048,111.19047619047619,21
2017,Chicago Bulls,100.05555555555556,108.11111111111111,18
2017,Sacramento Kings,105.6842105263158,111.78947368421052,19
2017,Milwaukee Bucks,93,108.47368421052632,19
2017,Houston Rockets,108.44444444444444,109.83333333333333,18
2017,Los Angeles Lakers,105.55555555555556,112.72222222222223,18
2017,New York Knicks,106.875,111.5,16
2017,Toronto Raptors,110,107.3529411764706,17
2017,San Antonio Spurs,109.25,104.3125,16
2017,Atlanta Hawks,97.95,106.95,20
2017,Miami Heat,105.66666666666667,107.13333333333334,15
2016,Chicago Bulls,104.0625,106.625,16
2016,Orlando Magic,101.23529411764706,107.11764705882354,17
2016,Charlotte Hornets,107.58823529411765,104.82352941176471,17
2016,Minnesota Timberwolves,104.625,110.875,16
2016,Atlanta Hawks,101.88235294117646,102.23529411764706,17
2016,Portland Trail Blazers,102.125,108.75,16
2016,Washington Wizards,102.6842105263158,106.21052631578948,19
2016,Phoenix Suns,97.30434782608695,108.43478260869566,23
2016,Utah Jazz,98.11764705882354,103.47058823529412,17
2016,Los Angeles Clippers,105.77777777777777,103.94444444444444,18
2016,Memphis Grizzlies,109.42857142857143,107.89285714285714,28
2016,New Orleans Pelicans,100.66666666666667,110,21
2016,Miami Heat,117.78947368421052,104.52631578947368,19
2016,Boston Celtics,101.6875,103.9375,16
2016,Cleveland Cavaliers,106.77777777777777,104.94444444444444,18
2016,Golden State Warriors,113.3125,103.875,16
2016,Detroit Pistons,109,106.47058823529412,17
2016,San Antonio Spurs,110.17647058823529,99.58823529411765,17
2016,Oklahoma City Thunder,107.23529411764706,106.94117647058823,17
2016,Brooklyn Nets,103.41176470588235,110.47058823529412,17
2016,Houston Rockets,NA,107.66666666666667,18
2016,Toronto Raptors,104.5625,104.75,16
2016,Los Angeles Lakers,101.8,111.66666666666667,15
2016,New York Knicks,106.25,108.0625,16
2016,Denver Nuggets,101.21052631578948,109.26315789473684,19
2016,Sacramento Kings,104.26666666666667,109,15
2016,Indiana Pacers,109.4375,103.875,16
2016,Philadelphia 76ers,96,109.5,18
2016,Dallas Mavericks,107.625,106.0625,16
2016,Milwaukee Bucks,100.11764705882354,109.94117647058823,17
2015,Indiana Pacers,103.5625,103.4375,16
2015,Cleveland Cavaliers,102.5,107,20
2015,Phoenix Suns,91.34782608695652,107.3913043478261,23
2015,Chicago Bulls,102.85714285714286,105.07142857142857,14
2015,Orlando Magic,99.2,107.93333333333334,15
2015,Atlanta Hawks,105.75,103.25,16
2015,Minnesota Timberwolves,109.36,112.16,25
2015,Charlotte Hornets,101.58823529411765,104.58823529411765,17
2015,Dallas Mavericks,108,106.89473684210526,19
2015,Brooklyn Nets,98.42105263157895,106.89473684210526,19
2015,Utah Jazz,97.63636363636364,104.9090909090909,22
2015,Philadelphia 76ers,90.08,106.4,25
2015,Houston Rockets,100.55,104.4,20
2015,New York Knicks,98.95,109.9,20
2015,New Orleans Pelicans,96.23809523809524,108.61904761904762,21
2015,Portland Trail Blazers,104.88888888888889,103.61111111111111,18
2015,Denver Nuggets,101.05,107.85,20
2015,Toronto Raptors,106.46666666666667,107.2,15
2015,Miami Heat,100.61904761904762,107.42857142857143,21
2015,Detroit Pistons,101.5,106.95,20
2015,Golden State Warriors,108.4,101.4,15
2015,Washington Wizards,98.72222222222223,103.94444444444444,18
2015,Sacramento Kings,108.05263157894737,107.94736842105263,19
2015,Oklahoma City Thunder,101.23809523809524,106.38095238095238,21
2015,San Antonio Spurs,106.3529411764706,102.58823529411765,17
2015,Los Angeles Clippers,103.75,106.15,20
2015,Boston Celtics,102.77272727272727,103.72727272727273,22
2015,Memphis Grizzlies,105.3157894736842,102.26315789473684,19
2015,Milwaukee Bucks,101.1,102.6,20
2015,Los Angeles Lakers,98.55555555555556,111.72222222222223,18
2014,Minnesota Timberwolves,102.70588235294117,106.94117647058823,17
2014,Houston Rockets,105.88888888888889,107.05555555555556,18
2014,Denver Nuggets,103.3125,107.8125,16
2014,Toronto Raptors,102.95,105.25,20
2014,Sacramento Kings,98.56521739130434,109.47826086956522,23
2014,Orlando Magic,99.375,107.5625,16
2014,Philadelphia 76ers,95.3913043478261,109.95652173913044,23
2014,Washington Wizards,101.17647058823529,104.70588235294117,17
2014,Atlanta Hawks,98.5,107.72222222222223,18
2014,Charlotte Bobcats,87.57894736842105,103.10526315789474,19
2014,New Orleans Pelicans,102.85714285714286,110.47619047619048,21
2014,Brooklyn Nets,101.84210526315789,108.10526315789474,19
2014,Utah Jazz,94.76470588235294,111.3529411764706,17
2014,Phoenix Suns,105.4,107.26666666666667,15
2014,Portland Trail Blazers,105.8,107.6,15
2014,Cleveland Cavaliers,92.33333333333333,106.9047619047619,21
2014,New York Knicks,NA,108.77777777777777,18
2014,Detroit Pistons,104.66666666666667,110.13333333333334,15
2014,Golden State Warriors,97.77777777777777,103,18
2014,Oklahoma City Thunder,95.33333333333333,105.27777777777777,18
2014,Indiana Pacers,102.82352941176471,99.94117647058823,17
2014,Los Angeles Clippers,101.3,103.6,20
2014,San Antonio Spurs,103.42105263157895,102.36842105263158,19
2014,Boston Celtics,101.63157894736842,107.84210526315789,19
2014,Memphis Grizzlies,NA,105.72222222222223,18
2014,Dallas Mavericks,108.06666666666666,109.06666666666666,15
2014,Milwaukee Bucks,105.52631578947368,111.73684210526316,19
2014,Chicago Bulls,NA,103.1,20
2014,Miami Heat,114.61111111111111,106.66666666666667,18
2014,Los Angeles Lakers,101.26315789473684,110.73684210526316,19
2013,Washington Wizards,94.47368421052632,103.15789473684211,19
2013,Sacramento Kings,103.41176470588235,111.11764705882354,17
2013,Houston Rockets,100.85,105.95,20
2013,Toronto Raptors,104.33333333333333,107.83333333333333,18
2013,Orlando Magic,98.27777777777777,109.22222222222223,18
2013,Atlanta Hawks,NA,104.88888888888889,18
2013,Utah Jazz,103.42857142857143,107.35714285714286,14
2013,New Orleans Hornets,100.26315789473684,110.36842105263158,19
2013,Minnesota Timberwolves,97.15789473684211,105.57894736842105,19
2013,Cleveland Cavaliers,100.05263157894737,110.10526315789474,19
2013,New York Knicks,102.3157894736842,105.94736842105263,19
2013,Brooklyn Nets,NA,NA,17
2013,Detroit Pistons,105.6875,108.625,16
2013,Denver Nuggets,109.53333333333333,105.6,15
2013,Golden State Warriors,101.0625,105.1875,16
2013,Los Angeles Lakers,96.625,107.4375,16
2013,Dallas Mavericks,96.69565217391305,108.56521739130434,23
2013,Philadelphia 76ers,97.82352941176471,107.3529411764706,17
2013,San Antonio Spurs,106.4375,102.0625,16
2013,Memphis Grizzlies,100.95,101.45,20
2013,Boston Celtics,95.4,103.5,20
2013,Charlotte Bobcats,105.11111111111111,111.83333333333333,18
2013,Indiana Pacers,95.875,101.0625,16
2013,Milwaukee Bucks,99.5,105.27777777777777,18
2013,Los Angeles Clippers,106.53333333333333,104,15
2013,Chicago Bulls,97.2,103.6,15
2013,Miami Heat,103.88888888888889,104.72222222222223,18
2013,Portland Trail Blazers,98.6,109.73333333333333,15
2013,Oklahoma City Thunder,106.25,103.3125,16
2013,Phoenix Suns,96.8125,108.25,16
2012,Indiana Pacers,106.4,101.8,15
2012,Toronto Raptors,96.83333333333333,104.33333333333333,18
2012,Denver Nuggets,110,105.41176470588235,17
2012,Atlanta Hawks,101.8125,101.4375,16
2012,Utah Jazz,103.33333333333333,106.93333333333334,15
2012,New Orleans Hornets,97.18181818181819,104.95454545454545,22
2012,Cleveland Cavaliers,96.52380952380952,109.0952380952381,21
2012,New York Knicks,100,100.47058823529412,17
2012,Washington Wizards,94.95238095238095,106.04761904761905,21
2012,New Jersey Nets,100,109.72727272727273,22
2012,Philadelphia 76ers,93.6875,99.5625,16
2012,Milwaukee Bucks,100.05882352941177,105.23529411764706,17
2012,Los Angeles Lakers,103.47058823529412,105.52941176470588,17
2012,Golden State Warriors,104.55,109.2,20
2012,Minnesota Timberwolves,101.66666666666667,106.93333333333334,15
2012,Portland Trail Blazers,101.55555555555556,105.16666666666667,18
2012,Detroit Pistons,99,105.78571428571429,14
2012,Boston Celtics,98,98.11764705882354,17
2012,Charlotte Bobcats,91.375,110.5,16
2012,Los Angeles Clippers,99.38888888888889,106.11111111111111,18
2012,San Antonio Spurs,102.28571428571429,103.61904761904762,21
2012,Dallas Mavericks,99,102.5,16
2012,Chicago Bulls,106.71428571428571,98.92857142857143,14
2012,Memphis Grizzlies,93.6470588235294,103.3529411764706,17
2012,Houston Rockets,108.26315789473684,104.89473684210526,19
2012,Phoenix Suns,104.6923076923077,106.84615384615384,13
2012,Miami Heat,99.4375,100.375,16
2012,Orlando Magic,96.375,104.4375,16
2012,Sacramento Kings,100.93333333333334,109.26666666666667,15
2012,Oklahoma City Thunder,105.3125,104.5,16
2011,Indiana Pacers,103,106.2,15
2011,Houston Rockets,98.95,108.8,20
2011,Phoenix Suns,NA,110.84210526315789,19
2011,New Orleans Hornets,98.26315789473684,106,19
2011,Memphis Grizzlies,101.78947368421052,105.36842105263158,19
2011,Golden State Warriors,104.6470588235294,110.58823529411765,17
2011,Denver Nuggets,110.78947368421052,106.84210526315789,19
2011,Atlanta Hawks,102.58823529411765,107.17647058823529,17
2011,Utah Jazz,104.23529411764706,110.58823529411765,17
2011,Washington Wizards,99.34782608695652,110.47826086956522,23
2011,Los Angeles Clippers,104,109.47058823529412,17
2011,Dallas Mavericks,109.38888888888889,104.88888888888889,18
2011,Toronto Raptors,101.5909090909091,112.68181818181819,22
2011,San Antonio Spurs,99.4,106.4,20
2011,Cleveland Cavaliers,100.57894736842105,111.84210526315789,19
2011,New York Knicks,105.9,109.95,20
2011,Philadelphia 76ers,99.06666666666666,106.06666666666666,15
2011,Portland Trail Blazers,98.55555555555556,107.88888888888889,18
2011,Milwaukee Bucks,NA,103.76470588235294,17
2011,Los Angeles Lakers,103.9375,104.875,16
2011,New Jersey Nets,98.04545454545455,108.86363636363636,22
2011,Minnesota Timberwolves,100.23529411764706,111.52941176470588,17
2011,Sacramento Kings,NA,110.1875,16
2011,Detroit Pistons,106.07692307692308,112.07692307692308,13
2011,Boston Celtics,101.42857142857143,100.80952380952381,21
2011,Charlotte Bobcats,97.6842105263158,107.47368421052632,19
2011,Orlando Magic,104.29411764705883,102.70588235294117,17
2011,Chicago Bulls,103.33333333333333,100.73333333333333,15
2011,Oklahoma City Thunder,105.77777777777777,107.66666666666667,18
2011,Miami Heat,106.76470588235294,104.11764705882354,17
2010,Indiana Pacers,101.73333333333333,106.53333333333333,15
2010,Houston Rockets,98.85714285714286,107.33333333333333,21
2010,Chicago Bulls,96.66666666666667,105.44444444444444,18
2010,New Orleans Hornets,105.625,109.8125,16
2010,Golden State Warriors,113.35,112,20
2010,Charlotte Bobcats,101,103.15789473684211,19
2010,Los Angeles Lakers,104.92307692307692,104.23076923076923,13
2010,New York Knicks,102.6,111.65,20
2010,Atlanta Hawks,105.85714285714286,106.35714285714286,14
2010,Minnesota Timberwolves,98.0625,111.125,16
2010,Los Angeles Clippers,NA,NA,19
2010,Washington Wizards,101.95833333333333,109.91666666666667,24
2010,Phoenix Suns,NA,111.06666666666666,15
2010,Memphis Grizzlies,107.17647058823529,108.58823529411765,17
2010,Philadelphia 76ers,103.4375,111.4375,16
2010,Toronto Raptors,107.33333333333333,112.06666666666666,15
2010,Cleveland Cavaliers,97.22222222222223,104.72222222222223,18
2010,Portland Trail Blazers,104.26315789473684,106.89473684210526,19
